User ID,Gender,Age,EstimatedSalary,Purchased
15652400,Female,38,50000,0
15717893,Female,42,70000,0
15622585,Male,39,96000,1
15733964,Female,38,50000,0
15753861,Female,49,141000,1
15747097,Female,39,79000,0
15594762,Female,39,75000,1
15667417,Female,54,104000,1
15684861,Male,35,55000,0
15742204,Male,45,32000,1
15623502,Male,36,60000,0
15774872,Female,52,138000,1
15611191,Female,53,82000,1
15674331,Male,41,52000,0
15619465,Female,48,30000,1
15575247,Female,48,131000,1
15695679,Female,41,60000,0
15713463,Male,41,72000,0
15785170,Female,42,75000,0
15796351,Male,36,118000,1
15847882.67,Male,34,50000,0
15889326.67,Female,20,70000,0
15930770.67,Male,32,96000,1
15972214.67,Male,34,50000,0
16013658.67,Female,43,141000,1
16055102.67,Male,23,79000,0
16096546.67,Male,32,75000,1
16137990.67,Female,21,104000,1
16179434.67,Male,21,55000,0
16220878.67,Male,22,32000,1
16262322.67,Female,22,60000,0
16303766.67,Male,34,138000,1
16345210.67,Male,26,82000,1
16386654.67,Female,32,52000,0
16428098.67,Male,45,30000,1
16469542.67,Male,34,131000,1
16510986.67,Female,37,60000,0
